question,RII2000,RII2001,RIII&RIV2002,RR2006,RR2007,RR2008,RR2009,RR2012,RR2014,RR2018,conflict
請問您什麼時候開始上高中/高職/五專?民國__年,b05a/請問您什麼時候開始上高中/高職/五專?民國__年,B04A/請問您什麼時候開始上初中/初職/國中?民國__年,,,,,,,,,V
請問您什麼時候開始上高中/高職/五專?民國__年,b05a/請問您什麼時候開始上高中/高職/五專?民國__年,B05A/請問您什麼時候開始上高中/高職/五專?民國__年,,,,,,,,,V
請問您什麼時候開始上高中/高職/五專?民國__年,b05a/請問您什麼時候開始上高中/高職/五專?民國__年,B05A/請問您什麼時候開始上高中/高職/五專?民國__年,,,,,,,,,V
請問在這個階段，您主要是唸什麼樣的學校?,b05b/請問在這個階段，您主要是唸什麼樣的學校?,B05B/請問在這個階段，您主要是唸什麼樣的學校?,,,,,,,,,
請問您就讀的學校是公立還是私立?,b05c/請問您就讀的學校是公立還是私立?,B05C/請問您就讀的學校是公立還是私立?,,,,,,,,,
請問在這個階段，您有沒有拿到正式的文憑?,b05d/請問在這個階段，您有沒有拿到正式的文憑?,B05D/請問在這個階段，您有沒有拿到正式的文憑?,,,,,,,,,
請問您是什麼時候畢業或肄業的?民國  _年,b05e/請問您是什麼時候畢業或肄業的?民國  _年,B05E/請問您是什麼時候畢業或肄業的?民國__年,,,,,,,,,
請問您在這個教育階段後，緊接下來做什麼呢?,b05f/請問您在這個教育階段後，緊接下來做什麼呢?,B05F/請問您在這個教育階段後，緊接下來做什麼呢?,,,,,,,,,
請問您什麼時候開始上二專/三專/技術學院/大學?民國  _年,b06a/請問您什麼時候開始上二專/三專/技術學院/大學?民國  _年,B06A/請問您什麼時候開始上二專/三專/技術學院/大學?民國__年,,,,,,,,,
請問在這個階段，您主要是唸什麼樣的學校?,b06b/請問在這個階段，您主要是唸什麼樣的學校?,B06B/請問在這個階段，您主要是唸什麼樣的學校?,,,,,,,,,
請問您就讀的學校是公立還是私立?,b06c/請問您就讀的學校是公立還是私立?,B06C/請問您就讀的學校是公立還是私立?,,,,,,,,,
請問在這個階段，您有沒有拿到正式的文憑?,b06d/請問在這個階段，您有沒有拿到正式的文憑?,B06D/請問在這個階段，您有沒有拿到正式的文憑?,,,,,,,,,
請問您是什麼時候畢業或肄業的?民國  _年,b06e/請問您是什麼時候畢業或肄業的?民國  _年,B06E/請問您是什麼時候畢業或肄業的?民國__年,,,,,,,,,
請問您什麼時候開始上研究所(碩士/博士)?民國  _年,b07a/請問您什麼時候開始上研究所(碩士/博士)?民國  _年,B07A/請問您什麼時候開始上研究所(碩士/博士)?民國__年,,,,,,,,,
請問在研究所階段，您有沒有拿到正式的文憑?,b07b/請問在研究所階段，您有沒有拿到正式的文憑?,B07B/請問在研究所階段，您有沒有拿到正式的文憑?,,,,,,,,,
請問您是什麼時候畢業或肄業的?民國 _ 年,b07c/請問您是什麼時候畢業或肄業的?民國 _ 年,B07C/請問您是什麼時候畢業或肄業的?民國__年,,,,,,,,,
請問您有沒有在軍中服役過?,b08a/請問您有沒有在軍中服役過?,B08A/請問您有沒有在軍中服役過?,,,,,,,,,
請問您民國幾年幾月入伍?入伍年,b08b01/請問您什麼時候在軍中服役?民國 _ 年入伍,,,,,,,,,a05c01/請問您民國幾年幾月入伍?入伍年,
民國__年入伍,b08b02/民國  _年退伍,B08B01/民國__年入伍,,,,,,,,,V
民國  _年退伍,b08b02/民國  _年退伍,B08B02/民國__年退伍,,,,,,,,,V
民國  _年退伍,b08b02/民國  _年退伍,,,,,,,,,a05c03/請問您民國幾年幾月退伍?退伍年,
請問您什麼時候開始第一次正式就業?民國_  年,b09/請問您什麼時候開始第一次正式就業?民國_  年,B09/請問您什麼時候開始第一次正式就業?民國__年,,,,,,,,,
請問您什麼時候結婚(指第一次婚姻)?民國 _ 年,b10/請問您什麼時候結婚(指第一次婚姻)?民國 _ 年,B10/請問您什麼時候結婚(指第一次婚姻)?民國__年,,,,,,,,,
請問您什麼時候有第一個小孩? 民國 _ 年,b11/請問您什麼時候有第一個小孩? 民國 _ 年,B11/請問您什麼時候有第一個小孩?民國__年,,,,,,,,,
請問您什麼時候第一次買自己的房子? 民國  _年,b12a/請問您什麼時候第一次買自己的房子? 民國  _年,B12A/請問您什麼時候第一次買自己的房子?民國__年,,,,,,,,,
請問到目前為止，您有沒有參加過任何職業訓練課程?,b13a/請問到目前為止，您有沒有參加過任何職業訓練課程?,B13A/請問到目前為止，您有沒有參加過任何職業訓練課程?,,,,,,,,,
請問您有沒有高(普)考合格證書?,b13b/請問您有沒有高(普)考合格證書?,B13B/請問您有沒有高(普)考或特考合格証書?,,,,,,,,,
請問您有沒有經由考試或通過正式檢定，而取得任何職業或技術執照?,b13c/請問您有沒有經由考試或通過正式檢定，而取得任何職業或技術執照?,B13C/請問您有沒有經由考試或通過正式檢定，而取得任何職業或技術執照?,,,,,,,,,
請問您曾經自己創業(當老闆)過嗎?,b14a/請問您曾經自己創業(當老闆)過嗎?,B14A/請問您曾經自己創業(當老闆)過嗎?,,,,,,,,,
如果有，那是什麼時候的事(指第一次創業)?民國__年,b14b/如果有，那是什麼時候的事(指第一次創業)?民國__年,B14B/如果有，那是什麼時候的事(指第一次創業)?民國__年,,,,,,,,,
當時是做那一種事業,b14c/當時是做那一種事業,B14C/當時是做哪一種事業?,,,,,,,,,
當時的創業資金主要來自何處?,b14d/當時的創業資金主要來自何處?,B14D/當時的創業資金主要來自何處?,,,,,,,,,
當時一共有幾名員工?__名,b14e/當時一共有幾名員工?__名,B14E/當時一共有幾名員工?__名,,,,,,,,,
這個事業目前還在進行嗎?,b14f/這個事業目前還在進行嗎?,B14F/這個事業目前還在進行嗎?,,,,,,,,,
如果該事業已經結束的話，請問那是什麼時候的事?民國_ 年,b14h/如果該事業已經結束的話，請問那是什麼時候的事?民國_ 年,B14H/如果該事業已經結束的話，請問那是什麼時候的事?民國__年,,,,,,,,,
請問您目前有沒有工作?,c01/請問您目前有沒有工作?,,,A07/請問您目前有工作嗎?,a05/請問您目前有工作嗎?,a05/請問您目前有工作嗎?,a05/請問您目前有工作嗎?,a05/請問您目前有工作嗎,a05/請問您目前有工作嗎?,a06a/請問您目前有工作嗎?,V
請問您是在為誰工作?,c03b/您是在為誰工作?,C03B/請問您是在為誰工作?,A05B/請問您是在為誰工作?,A11B/請問您是在為誰工作?,a08b/請問您是在為誰工作?,a08b/請問您是在為誰工作?,a08b/請問您是在為誰工作?,a08b/請問您是在為誰工作,a06/請問您是在為誰工作?,a07a/請問您是在為誰工作?,
您這份工作的公司約有多少位員工?,c04/您這份工作的公司約有多少位員工?,C04/您這份工作的公司約有多少位員工?,A05C/您這份工作的公司約有多少位員工?,A11C/您這份工作的公司約有多少位員工?,a08c/您這份工作的公司約有多少位員工?,a08c/您這份工作的公司約有多少位員工?,,,,,V
您(先生/太太)這份工作的公司約有多少位員工?,c04/您這份工作的公司約有多少位員工?,C04/您這份工作的公司約有多少位員工?,A21C/您(先生/太太)這份工作的公司約有多少位員工?,A11C/您這份工作的公司約有多少位員工?,a08c/您這份工作的公司約有多少位員工?,a08c/您這份工作的公司約有多少位員工?,,,,,V
您這份工作的地點是在哪裡?,c05z01/您這份工作的地點是在哪裡?,,,A12A01/您這份工作的工作地點是在哪裡?,,,,,,,
您這份工作是按小時，按月等方式定期領薪水,c06a01/按小時，按月等方式定期領薪水,C07A01/您這份工作是按小時，按月等方式定期領薪水,A08A01/您這份工作收入是按小時，按月等方式定期領薪水,A13A02/您這份工作收入是按小時，按每月等方式定期收支，每月平均約__元,a10a02/您這份工作收入是按小時，按日計酬，每月平均約__元,a10a02/您這份工作收入按小時、按日計酬，每月平均約__元,,,,,V
您這份工作收入是按小時，按月等方式定期領薪水,c06a01/按小時，按月等方式定期領薪水,C07A01/您這份工作是按小時，按月等方式定期領薪水,A08A01/您這份工作收入是按小時，按月等方式定期領薪水,A13A02/您這份工作收入是按小時，按每月等方式定期收支，每月平均約__元,,,,,,,V
按小時，按月等方式定期領薪水,c06a01/按小時，按月等方式定期領薪水,C07A01/您這份工作是按小時，按月等方式定期領薪水,A08A01/您這份工作收入是按小時，按月等方式定期領薪水,,,,,,,,V
按小時，按月等方式定期領薪水,c06a01/按小時，按月等方式定期領薪水,C07A01/您這份工作是按小時，按月等方式定期領薪水,A08A02/按小時，按月等方式定期領薪水，每月平均約__元,,,,,,,,V
在您開始做這份工作時，平均每個月的總收入大約有多少?,c06b/您這份工作平均每個月的總收入大約有多少?__元,C07B/您這份工作平均每個月的總收入大約有多少?__元,A08B/您這份工作平均每個月的總收入大約有多少?__元,A13B/您這份工作平均每個月的總收入大約有多少?__元,a10b/您這份工作平均每個月的總收入大約有多少?,a10b/您這份工作平均每個月的總收入大約有多少?,,,a10c/在您開始做這份工作時，平均每個月的總收入大約有多少?,,
您這份工作平均每個月的總收入大約有多少?__元,c06b/您這份工作平均每個月的總收入大約有多少?__元,C07B/您這份工作平均每個月的總收入大約有多少?__元,A08B/您這份工作平均每個月的總收入大約有多少?__元,A13B/您這份工作平均每個月的總收入大約有多少?__元,a10b/您這份工作平均每個月的總收入大約有多少?,a10b/您這份工作平均每個月的總收入大約有多少?,,,,,V
您這份工作平均每個月的總收入大約有多少?__元,c06b/您這份工作平均每個月的總收入大約有多少?__元,C07B/您這份工作平均每個月的總收入大約有多少?__元,A08B/您這份工作平均每個月的總收入大約有多少?__元,,,,,,,,V
您這份工作平均每個月的總收入大約有多少?__元,c06b/您這份工作平均每個月的總收入大約有多少?__元,C30/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,A08B/您這份工作平均每個月的總收入大約有多少?__元,A13B/您這份工作平均每個月的總收入大約有多少?__元,a10b/您這份工作平均每個月的總收入大約有多少?,a10b/您這份工作平均每個月的總收入大約有多少?,,,a08b/您這份工作平均每個月的總收入大約有多少?,,V
在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,c07/在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,C08/在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,A09/在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,A14/在正常的情形下，您這份工作平均每週大約工作幾個小時?,,,,,,,V
在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,c07/在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,,,,,,,,a09b/在正常的情形下，您這份工作平均每週大約工作幾個小時?,a12d/在您開始做這份工作時，您平均每週大約工作幾個小時?,V
在正常的情形下，您這份兼差平均每週大約工作幾個小時?(答完A13e後，跳至A15a),c07/在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,,,,,,,,a13e/在正常的情形下，您這份兼差平均每週大約工作幾個小時?(答完A13e後，跳至A15a),,V
您覺得目前的工作在未來的一年之內穩定嗎?,c09/您覺得目前的工作在未來的一年之內穩定嗎?,C10/您覺得您目前的工作在未來的一年之內穩定嗎?,,,,,,,,,
平常您每天上下班總共需要多少交通時間?約__分鐘,c10/平常您每天上下班總共需要多少交通時間?約__分鐘,C11/平常您每天上下班總共需要多少交通時間?約__分鐘,,A12B01/平常您每天上下班總共需要多少交通時間?,a09c01/平常您每天上下班總共需要多少交通時間?,a09c01/平常您每天上下班總共需要多少交通時間?,a09g01/平常您每天上下班總共需要多少交通時間?,,a07d01/平常您每天上下班總共需要多少交通時間?(以最常用的交通工具為主),a08d01/平常您每天上下班總共需要多少交通時間?,V
平常(他/她)每天上下班總共需要多少交通時間?,c10/平常您每天上下班總共需要多少交通時間?約__分鐘,C11/平常您每天上下班總共需要多少交通時間?約__分鐘,,A30B01/平常(他/她)每天上下班總共需要多少交通時間?,a09c01/平常您每天上下班總共需要多少交通時間?,a24c01/平常(他/她)每天上下班總共需要多少交通時間?,a24c01/平常(他/她)每天上下班總共需要多少交通時間?,,a31d01/平常(他/她)每天上下班總共需要多少交通時間?(以最常用的交通工具為主),a08d01/平常您每天上下班總共需要多少交通時間?,V
平常(他/她)每天上下班總共需要多少交通時間?,c10/平常您每天上下班總共需要多少交通時間?約__分鐘,C11/平常您每天上下班總共需要多少交通時間?約__分鐘,,A30B01/平常(他/她)每天上下班總共需要多少交通時間?,a24c01/平常(他/她)每天上下班總共需要多少交通時間?,a24c01/平常(他/她)每天上下班總共需要多少交通時間?,a24c01/平常(他/她)每天上下班總共需要多少交通時間?,,a31d01/平常(他/她)每天上下班總共需要多少交通時間?(以最常用的交通工具為主),a08d01/平常您每天上下班總共需要多少交通時間?,V
您在做這份工作時，是否會用到電腦?,c11/您在做這份工作時，是否會用到電腦?,C12/您在做這份工作時，是否會用到電腦?,,,,,,,,,
您現在工作的機構有沒有提供除健保外之醫療，意外或人壽保險?,c12z01/您現在工作機構有沒有提供除健保外之醫療、意外或人壽保險福利給像您?o個職位的員工?,C13Z01/您現在工作的機構有沒有提供除健保外之醫療，意外或人壽保險?,,,,,,,,,
您現在工作的機構有沒有提供低利貸款或優惠存款?,c12z02/您現在工作機構有沒有提供低利貸款或優惠存款福利給像您這個職位的員?u?,C13Z02/您現在工作的機構有沒有提供低利貸款或優惠存款?,,,,,,,,,
您現在工作機構有沒有提供宿舍或房屋津貼福利給像您這個職位的員工?,c12z03/您現在工作機構有沒有提供宿舍或房屋津貼福利給像您這個職位的員工?,C13Z03/您現在工作的機構有沒有提供宿舍或房屋津貼?,,,,,,,,,
您現在工作的機構有沒有提供退休金?,c12z04/您現在工作機構有沒有提供退休金福利給像您這個職位的員工?,C13Z04/您現在工作的機構有沒有提供退休金?,,,,,,,,,
您現在工作機構有沒有提供小孩的學雜費補助福利給像您這個職位的員工?,c12z05/您現在工作機構有沒有提供小孩的學雜費補助福利給像您這個職位的員工?,C13Z05/您現在工作的機構有沒有提供小孩的學雜費補助?,,,,,,,,,
您現在工作的機構有沒有提供在職訓練課程或進修?,c12z06/您現在工作機構有沒有提供提供在職訓練課程或進修福利給像您這個職位?滬工?,C13Z06/您現在工作的機構有沒有提供在職訓練課程或進修?,,,,,,,,,
在您現在工作的場所，會不會與同樣職位的男性員工比較起來，女性員工的薪水較少?,c13z01/與同樣職位的男性員工比較起來，女性員工的薪水較少,C14Z01/在您現在工作的場所，會不會與同樣職位的男性員工比較起來，女性員工的薪水較少?,,,,,,,,,
女性員工在昇遷時較為困難,c13z02/女性員工在昇遷時較為困難,C14Z02/在您現在工作的場所，會不會有女性員工在昇遷時較為困難?,,,,,,,,,
女性員工可能因為懷孕或結婚而被解僱，調職或影響升遷,c13z03/女性員工可能因為懷孕或結婚而被解僱，調職或影響升遷,C14Z03/在您現在工作的場所，會不會有女性員工可能因為懷孕或結婚而被解僱，調職或影響升遷,,,,,,,,,
您現在所做的工作，是否具有危險性或容易受傷,c14z02/您現在所做的工作，是否具有危險性或容易受傷,C15Z02/您現在所做的工作，是否具有危險性或容易受傷?,,,,,,,,,
您現在所做的工作，是否工作壓力太大?,c14z03/您現在所做的工作，是否工作壓力太大,C15Z03/您現在所做的工作，是否工作壓力太大?,,,,,,,,,
您希望找的是什麼樣的工作?,c17/您希望找的是什麼樣的工作?,C17/您希望找的是什麼樣的工作?,,,,,,,,,
您用家人介紹的方法找尋工作,c18z01/您用什麼方法找尋工作?家人介紹,C18Z01/您用家人介紹的方法找尋工作,,,,,,,,,
您用什麼方法找尋工作?親戚介紹,c18z02/您用什麼方法找尋工作?親戚介紹,C18Z02/您用親戚介紹的方法找尋工作,,,,,,,,,
您用什麼方法找尋工作?同鄉介紹,c18z03/您用什麼方法找尋工作?同鄉介紹,C18Z03/您用同鄉介紹的方法找尋工作,,,,,,,,,
您用什麼方法找尋工作?朋友介紹,c18z04/您用什麼方法找尋工作?朋友介紹,C18Z04/您用朋友介紹的方法找尋工作,,,,,,,,,
您用什麼方法找尋工作?老師介紹,c18z05/您用什麼方法找尋工作?老師介紹,C18Z05/您用老師介紹的方法找尋工作,,,,,,,,,
您用什麼方法找尋工作?向公私之就業服務機構求職,c18z06/您用什麼方法找尋工作?向公私之就業服務機構求職,C18Z06/您向公私立就業服務機構求職的方法找尋工作,,,,,,,,,
您用什麼方法找尋工作?看徵才啟事,c18z07/您用什麼方法找尋工作?看徵才啟事,C18Z07/您看徵才啟事的方法找尋工作,,,,,,,,,
您用什麼方法找尋工作?自己去找,c18z08/您用什麼方法找尋工作?自己去找,C18Z08/您自己去找的方法找尋工作,,,,,,,,,
請問您(先生/太太)目前有沒有工作?,c19/請問您(先生/太太)目前有沒有工作?,,,A07/請問您目前有工作嗎?,a05/請問您目前有工作嗎?,a05/請問您目前有工作嗎?,a05/請問您目前有工作嗎?,a05/請問您目前有工作嗎,a05/請問您目前有工作嗎?,,V
請問您(先生/太太)目前沒有工作的原因是什麼?,c20/請問您(先生/太太)目前沒有工作的原因是什麼?,C32/請問您(先生/太太)目前沒有工作的原因是什麼?,A26/請問您(先生/太太)目前沒有工作的原因是什麼?,,,,,,,,
請問您(先生/太太)是在為誰工作?,c21b/您(先生/太太)是在為誰工作?,C28B/請問您(先生/太太)是在為誰工作?,A21B/請問您(先生/太太)是在為誰工作?,,,,,,,,
您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,c22/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,C07B/您這份工作平均每個月的總收入大約有多少?__元,A24/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,A13B/您這份工作平均每個月的總收入大約有多少?__元,,,,,,,V
您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,c22/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,C30/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,A24/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,,,a10b/您這份工作平均每個月的總收入大約有多少?,,,,,V
您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,c22/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,C30/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,A24/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,,,a10b/您這份工作平均每個月的總收入大約有多少?,,,,,V
您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,c22/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,C30/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,A24/您(先生/太太)這份工作平均每個月的總收入大約有多少?__元,,,a10b/您這份工作平均每個月的總收入大約有多少?,,,,,V
在正常的情形下，您(先生/太太)這份工作平均每週大約工作幾個小時?__小時,c23/在正常的情形下，您(先生/太太)這份工作平均每週大約工作幾個小時?___小時,C31/在正常的情形下，您(先生/太太)這份工作平均每週大約工作幾個小時?__小時,A09/在正常的情形下，您這份工作平均每週大約工作幾個小時?__小時,A14/在正常的情形下，您這份工作平均每週大約工作幾個小時?,,,,,,,V
請問您在未來有沒有移民到其他國家的打算?,d01/請問您在未來有沒有移民到其他國家的打算?,,C01/請問您在未來有沒有移民到其他國家的打算?,,,,,,,,
您打算移民的主要因是什麼?,d02/您打算移民的主要因是什麼?,D02/您打算移民的主要原因是什麼?,C02/您打算移民的主要原因是什麼?,B02/您打算移民的主要原因是什麼?,b02/您打算移民的主要原因是什麼?,b02/您打算移民的主要原因是什麼?,b02/您打算移民的主要原因是什麼?,b02/您打算移民的主要原因是什麼,b02/您打算移民的主要原因是什麼?(請唸出答項供受訪者選擇),,
您有沒有親人定居住在其他國家？父母或配偶父母,d03z01/您有沒有親人定居住在其他國家？父母或配偶父母,D03Z01/您有父母或配偶父母定居在其他國家?,C03Z01/你有沒有父母或配偶父母定居住在其他國家?,,,,,,,,
您有沒有親人定居住在其他國家?子女,d03z02/您有沒有親人定居住在其他國家?子女,D03Z02/您有子女定居在其他國家?,C03Z02/你有沒有子女定居住在其他國家?,,,,,,,,
您有沒有親人定居住在其他國家?兄弟姐妹或配偶的兄弟姐妹,d03z03/您有沒有親人定居住在其他國家?兄弟姐妹或配偶的兄弟姐妹,D03Z03/您有兄弟姊妹或配偶的兄弟姊妹定居在其他國家?,C03Z03/你有沒有兄弟姊妹或配偶的兄弟姊妹定居住在其他國家?,,,,,,,,
您有沒有親人定居住在其他國家?其他親人,d03z04/您有沒有親人定居住在其他國家?其他親人,D03Z04/您有其他親人定居在其他國家?,C03Z04/你有沒有其他親人定居住在其他國家?,,,,,,,,
在去年之中，請問您平均每週大約花多少時間作家務工作?__小時,e01a/在去年之中，請問您平均每週大約花多少時間作家務工作?__小時,E01A/在去年之中，請問您平均每週大約花多少時間作家務工作?__小時,D01A/在去年之中，請問您平均每週大約花多少時間作家務工作?__小時,C01A/在去年(94年)之中，請問您平均每週大約花多少時間作家務工作?__小時,d01a/在去年(95年)之中，請問您平均每週大約花多少時間作家務工作?__小時,c01a/在去年(96年)之中，請問您平均每週大約花多少時間作家務工作?,c01a/在去年(97年)之中，請問您平均每週大約花多少時間作家務工作?,,c01a/在去年之中，請問您平均每週大約花多少時間作家務工作?__小時,,
請問您的配偶平均每週大約花多少時間作家務工作?__小時,e01b/請問您的配偶平均每週大約花多少時間作家務工作?__小時,E01B/請問您的配偶平均每週大約花多少時間作家務工作?__小時,D01B/請問您的配偶平均每週大約花多少時間作家務工作?__小時,C01B/請問您的配偶平均每週大約花多少時間作家務工作?__小時,d01b/請問您的配偶平均每週大約花多少時間作家務工作?__小時,c01b/請問您的配偶平均每週大約花多少時間作家務工作?,c01b/請問您的配偶平均每週大約花多少時間作家務工作?,,c01b/在去年之中，請問您的配偶平均每週大約花多少時間作家務工作?__小時,,
在過去一年裡，您家中每個月的飲食支出__元,e02d/在過去一年裡，您家中每個月的飲食支出__元,E02D/在過去一年裡，您家中飲食支出__元,,C08D/在過去一年裡，您家中飲食支出(包括家中飲食與外出飲食)平均每月__元,d08d/在過去一年裡，您(和您配偶)飲食支出(包括家中飲食與外出飲食)平均每月__元,,,,,,
在其他費用方面，下列哪一項所佔的支出最多?,e02e01/在其他費用方面，下列哪一項所佔的支出最多?,E02E/在過去一年裡，您家中娛樂消遣__元,,C08E/在過去一年裡，您家中每個月的飲食支出中，外出飲食大約有多少__元,d08e/在過去一年裡，您(和您配偶)每個月的飲食支出中，外出飲食大約有多少__元,,,,,,
此項目在上個學年/去年，總計約__元,e02e02/此項目在上個學年/去年，總計約__元,E02F/在過去一年裡，您家中每個月的平均儲蓄__元,,C08G/在過去一年裡，您家中每個月的平均儲蓄(不含標會)__元,d08g/在過去一年裡，您(和您配偶)每個月的平均儲蓄(不含標會)__元,,,,,,
在過去的一年中，您是否有新添的小孩?,f02/在過去的一年中，您是否有新添的小孩?,F02/在過去一年中，您是否有新添的小孩?,E02/在過去一年中，您是否有新添的小孩?,E01/在過去一年中，您是否有新添的小孩?,,,,,,,
他/她是男孩還是女孩?,f03/他/她是男孩還是女孩?,F03/他/她是男孩還是女孩?,E03/他/她是男孩還是女孩?,,,,,,,,
您(或您的配偶)有沒有打算在未來(再)生一個小孩?,f04/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,F04/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,E04/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,E03/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,f01/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,e01/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,e02/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,,d03/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,d06/您(或您的配偶)有沒有打算在未來(再)生一個小孩?,
您(或您的配偶)希望這個小孩是男孩還是女孩?,f05/您(或您的配偶)希望這個小孩是男孩還是女孩?,F05/您(或您的配偶)希望這個小孩是男孩還是女孩?,E05/您(或您的配偶)希望這個小孩是男孩還是女孩?,,f02/您(或您的配偶)希望這個小孩是男孩還是女孩?,e02/您(或您的配偶)希望這個小孩是男孩還是女孩?,e03/您(或您的配偶)希望這個小孩是男孩還是女孩?,,,d07/您(或您的配偶)希望這個小孩是男孩還是女孩?,
